,Recipients,early life and career,early life and career Telugu
2480,N. Ramaswami Ayyar,"Born in 1896 in an orthodox Hindu family, he started his career as a criminal lawyer, but abandoned his practice in the 1930s to start Savitri Vidyasala, a girls' school in Tiruchirapalli in 1938, when girls' education was a taboo in the society. The institution grew over the years into an educational group which included several institutions such as Savithri Vidyasala Hindu Girls’ Higher Secondary School, Seethalakshmi Ramaswami College, Kamakoti Vidyalaya and Padmabhushan Sri. N. Ramaswami Ayyar Memorial Polytechnic College for Girls, with a total strength of over 10,000 students. All the institutions are housed in N. Ramaswami Ayyar Educational Complex, a 30-acre complex and offer education from primary to post graduate levels as well as vocational courses. The Government of India awarded him the third highest civilian honour of the Padma Bhushan, in 1971, for his contributions to education. The youngest of his three sons, R. Panchapakesan, carries on with his father's efforts and is the head of the Group.","1896లో ఒక సనాతన హిందూ కుటుంబంలో జన్మించిన ఇతను క్రిమినల్ లాయర్గా తన వృత్తిని ప్రారంభించాడు, అయితే 1930లలో తన ప్రాక్టీస్ను వదిలిపెట్టి, 1938లో తిరుచిరాపల్లిలో సావిత్రి విద్యాశాల అనే బాలికల పాఠశాలను ప్రారంభించాడు, బాలికల విద్య సమాజంలో నిషిద్ధం. సావిత్రి విద్యాశాల హిందూ బాలికల హయ్యర్ సెకండరీ స్కూల్, సీతాలక్ష్మి రామస్వామి కళాశాల, కామకోటి విద్యాలయం, పద్మభూషణ్ శ్రీ వంటి అనేక విద్యా సంస్థలను కలిగి ఉన్న విద్యా సమూహంగా ఈ సంస్థ సంవత్సరాలుగా అభివృద్ధి చెందింది. ఎన్. రామస్వామి అయ్యర్ మెమోరియల్ పాలిటెక్నిక్ బాలికల కళాశాల, మొత్తం 10, 000 మంది విద్యార్థులతో. అన్ని సంస్థలు ఎన్లో ఉన్నాయి. రామస్వామి అయ్యర్ ఎడ్యుకేషనల్ కాంప్లెక్స్, 30 ఎకరాల కాంప్లెక్స్, ప్రాథమిక నుండి పోస్ట్ గ్రాడ్యుయేట్ స్థాయిల వరకు అలాగే వృత్తి విద్యా కోర్సులను అందిస్తుంది. విద్యకు ఆయన చేసిన సేవలకు గాను 1971లో భారత ప్రభుత్వం ఆయనకు మూడవ అత్యున్నత పౌర పురస్కారమైన పద్మభూషణ్ను అందించింది. అతని ముగ్గురు కొడుకులలో చిన్నవాడు ఆర్. పంచపకేశన్, తన తండ్రి ప్రయత్నాలను కొనసాగిస్తూ, గ్రూప్కి అధిపతి. "
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,,
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,"Bhai Nirmal Singh was born on 12 April 1952 at Jandwala Bhimeshah in Ferozepur, Punjab. In 1976, he graduated with a Diploma in Gurmat Sangeet from Shaheed Missionary College, Amritsar. In 1977–78, he served as a music teacher at Gurmat College in Rishikesh and later taught at Shaheed Sikh Missionary College in Sri Ganganagar, Rajasthan. From 1979, he started serving as a Hazoori Ragi at Darbar Sahib. He had performed Kirtan at all five Takhts, various historical Gurdwaras across South Asia and throughout 71 countries. Bhai Sahib was a highly regarded ragi with knowledge of all 31 Raags of Guru Granth Sahib.
For services in the field of arts, Bhai Nirmal Singh Khalsa was awarded the Padma Shri, fourth highest civilian award in the Republic of India in 2009. He was the first Hazoori Ragi to receive this award.","భాయ్ నిర్మల్ సింగ్ 1952 ఏప్రిల్ 12న పంజాబ్లోని ఫిరోజ్పూర్లోని జంద్వాలా భీమేషాలో జన్మించారు. 1976లో, ఇతను అమృత్సర్లోని షాహీద్ మిషనరీ కళాశాల నుండి గుర్మత్ సంగీత్లో డిప్లొమాతో పట్టభద్రుడయ్యాడు. 1977-78లో, ఇతను రిషికేశ్లోని గుర్మత్ కళాశాలలో సంగీత ఉపాధ్యాయునిగా పనిచేశాడు, తరువాత రాజస్థాన్లోని శ్రీ గంగానగర్లోని షహీద్ సిక్కు మిషనరీ కళాశాలలో బోధించాడు. 1979 నుండి, ఇతను దర్బార్ సాహిబ్లో హజూరి రాగిగా సేవ చేయడం ప్రారంభించాడు. ఇతను మొత్తం ఐదు తఖ్త్లలో, దక్షిణాసియాలోని వివిధ చారిత్రక గురుద్వారాలలో, 71 దేశాలలో కీర్తనను ప్రదర్శించాడు. భాయ్ సాహిబ్ గురు గ్రంథ్ సాహిబ్లోని మొత్తం 31 రాగుల పరిజ్ఞానంతో అత్యంత గౌరవనీయమైన రాగి. కళల రంగంలో సేవలకు, భాయ్ నిర్మల్ సింగ్ ఖాల్సా 2009లో రిపబ్లిక్ ఆఫ్ ఇండియాలో నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీని అందుకున్నారు. ఈ అవార్డును అందుకున్న మొదటి హజూరి రాగి ఆయనే. "
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,,
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,,
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,,
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,"P. N. Dhar was born in Kashmiri brahmin family on 1919 to Dr. Vishnu Hakim and Radha Hakim. His wife was the singer-writer Sheila Dhar. He attended Tyndale Biscoe School in Srinagar, India, and then studied economics at the Hindu College of the University of Delhi.
Dhar served as Principal Secretary to the Prime Minister Indira Gandhi during the tumultuous days of the Emergency (1973–1977). He was one of her close advisors, who were collectively known as the ""Kashmiri Mafia"".He was also a professor of economics at Delhi University for many years and the Director and Emeritus Professor of the Institute of Economic Growth in New Delhi.
He was one of the founders of the Delhi School of Economics","పి. ఎన్. ధర్ 1919లో కాశ్మీరీ బ్రాహ్మణ కుటుంబంలో డా. విష్ణు హకీమ్, రాధా హకీమ్. అతని భార్య గాయని-రచయిత షీలా ధర్. ఇతను భారతదేశంలోని శ్రీనగర్లోని టిండేల్ బిస్కో పాఠశాలలో చదివాడు, ఆపై ఢిల్లీ విశ్వవిద్యాలయంలోని హిందూ కళాశాలలో ఆర్థిక శాస్త్రాన్ని అభ్యసించాడు. ఎమర్జెన్సీ (1973–1977) గందరగోళ రోజులలో ధార్ ప్రధాన మంత్రి ఇందిరా గాంధీకి ప్రధాన కార్యదర్శిగా పనిచేశారు. ""కాశ్మీరీ మాఫియా""గా పిలవబడే ఈమె సన్నిహిత సలహాదారుల్లో ఇతను ఒకడు. ఇతను చాలా సంవత్సరాలు ఢిల్లీ విశ్వవిద్యాలయంలో ఆర్థికశాస్త్ర ప్రొఫెసర్, న్యూ ఢిల్లీలోని ఇన్స్టిట్యూట్ ఆఫ్ ఎకనామిక్ గ్రోత్ డైరెక్టర్, ఎమెరిటస్ ప్రొఫెసర్. ఢిల్లీ స్కూల్ ఆఫ్ ఎకనామిక్స్ వ్యవస్థాపకుల్లో ఆయన ఒకరు. "
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,,
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,,
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,,
2748,Padmaja Phenany Joglekar,,
2749,Padmanabhan Balaram,,
2750,Padmavathy Bandopadhyay,,
2751,Pakkiriswamy Chandra Sekharan,,
2752,Palahalli Sitaramiah,,
2753,Palaniandi Kandaswamy,,
2754,Palghat R. Raghu,,
2755,Palle Rama Rao,,
2756,Palligarnai Thirumalai Venugopal,,
2757,Pallonji Mistry,,
2758,Palpu Pushpangadan,,
2759,Pamela Cullen,,
2760,Pammal Sambandha Mudaliar,,
2761,Panangipalli Venugopal,,
2762,Panavelil Thomas Chandi,,
2763,Panchapakesa Jayaraman,,
2764,Pancheti Koteswaram,,
2765,Pandit Jasraj,,
2766,Pandit Surinder Singh,,
2767,Pandurang Dharmaji Jadhav,,
2768,Pandurang Rajaram Ghogrey,,
2769,Pandurang Shastri Athavale,,
2770,Pandurang Vasudeo Gadgil,,
2771,Pandurang Vasudeo Sukhatme,,
2772,Pandyala Satyanarayana Rau,,
2773,Pankaj Advani,,
2774,Pankaj Arjan Advani,,
2775,Pankaj Charan Das,,
2776,Pankaj M Shah,,
2777,Pankaj Mullick,,
2778,Pankaj Roy,,
2779,Pankaj Udhas,,
2780,Pannuru Sripathy,,
2781,Papanasam Sivan,,
2782,Paramananda Acharya,,
2783,Parameswaran Kuttapp Panikkar,,
2784,Paramsukh J. Pandya,,
2785,Parasaran Kesava Iyengar,,
2786,Parassala B. Ponnammal,,
2787,Parasu Ram Mishra,,
2788,Paresh Maity,,
2789,Paresh Rawal,,
2790,Pargat Singh,,
2791,Parixitalal Lallu Bhai Majumdar,,
2792,Parkash Singh Badal,,
2793,Parmeshwari Lal Verma,,
2794,Parshuram Atmaram Gangavane,,
2795,Parshuram Mishra,,
2796,Parveen Sultana,,
2797,Parveen Talha,,
2798,Patricia Mukhim,,
2799,Paul Pothen,,
2800,Paul Ratnasamy,,
2801,Pavaguda V. Indiresan,,
2802,Pavani Parameswara Rao,,
2803,Pawan Raj Goyal,,
2804,Penaz Masani,,
2805,Penimangalore Appraya Bhatt,,
2806,Pepita Seth,,
2807,Perakath Verghese Benjamin,,
2808,Perin Captain,,
2809,Periyasaamy Thooran,,
2810,Perugu Siva Reddy,,
2811,Peruvanam Kuttan Marar,,
2812,Pessie Madan,,
2813,Peter Brook,,
2814,Phanishwar Nath Renu,,
2815,Philip Augustine,,
2816,Philipose Mar Chrysostom,,
2817,Phillips Talbot,,
2818,Phool Chand Chowdhary,,
2819,Phoolbasan Bai Yadav,,
2820,Phu Dorjee,,
2821,Phu Dorjee Sherpa,,
2822,Phul Chand,,
2823,Phulrenu Guha,,
2824,Pichu Sambamoorthi,,
2825,Pilloo Maneck Maneckiji,,
2826,Piloo Nowshir Jungalwalla,,
2827,Pisharoth Rama Pisharoty,,
2828,Pitambar Pant,,
2829,Piyong Temjen Jamir,,
2830,Piyush Pandey,,
2831,Polly Umrigar,,
2832,Ponisseril Somasundaran,,
2833,Poola Tirupati Raju,,
2834,Poornima Arvind Pakvasa,,
2835,Popatrao Baguji Pawar,,
2836,Pothan Joseph,,
2837,Prabha Atre,,
2838,Prabhakar Bhikaji Chitnis,,
2839,Prabhakar Vaidya,,
2840,Prabhashankar Oghadbhai Sompura,,
2841,Prabhashankar Ramachandra Bhatt,,
2842,Prabhat Kumar Mukhopadhyaya,,
2843,Prabhu Chawla,,
2844,Prabhu Dayal Dabriwala,,
2845,Prabhu Dayal Nigam,,
2846,Prabhu Deva,,
2847,Prabhu Lal Bhatnagar,,
2848,Prabjot Kaur,,
2849,Pradeep Chowbey,,
2850,Pradeep Kumar Banerjee,,
2851,Pradeep Kumar Dave,,
2852,Pradhan Shambu Saran,,
2853,Pradip Kumar Banerjee,,
2854,Pradip Ranjan Roy,,
2855,Prafulla Baruah,,
2856,Prafulla Desai,,
2857,Prafulla Kar,"Born in 1939 into musician family in Puri, Bengal Presidency. His father is Baidyanath Kar and mother is Susila Kar. His uncle Khetra Mohan Kar was a renowned Tabla Player. He was raised and brought up by his grandfather Bhagaban Misra and grandmother Apanna Devi because he lost his father at an early age. when student he was a part of AISF ( students wing of CPI) and as an artist he was an eminent part of IPTA , the cultural wing of CPI.
Prafulla Kar has worked as music director and often as singer in 70 Oriya Films (Released and unreleased) as well as in 4 Bangla films.","1939లో బెంగాల్ ప్రెసిడెన్సీలోని పూరీలో సంగీత విద్వాంసుల కుటుంబంలో జన్మించారు. అతని తండ్రి బైద్యనాథ్ కర్, తల్లి సుశీల కర్. అతని మేనమామ ఖేత్రా మోహన్ కర్ ప్రసిద్ధ తబలా ప్లేయర్. చిన్నవయసులోనే తండ్రిని పోగొట్టుకున్నందున తాత భగబన్ మిశ్రా, అమ్మమ్మ అపన్నా దేవి దగ్గర పెరిగారు. విద్యార్థిగా ఉన్నప్పుడు ఇతను AISF (CPI విద్యార్థి విభాగం)లో భాగంగా ఉన్నాడు, కళాకారుడిగా ఇతను CPI, సాంస్కృతిక విభాగమైన IPTAలో ప్రముఖ భాగంగా ఉన్నాడు. ప్రఫుల్ల కర్ 70 ఒరియా చిత్రాలలో (విడుదల, విడుదల కానివి) అలాగే 4 బంగ్లా చిత్రాలలో సంగీత దర్శకుడిగా, తరచుగా గాయకుడిగా పనిచేశాడు. "
