,Recipients,education and career,education and career Telugu
3152,Ram Prakash Bambah,"Bambah earned a bachelor's degree from Government College University, Lahore, and a master's degree from the University of the Punjab, Lahore.
He then went to England for his doctoral studies, earning his Ph.D. in 1950 from St John's College, Cambridge under the supervision of Louis J. Mordell. Returning to India, he became a reader at Panjab University, Chandigarh, in 1952, and was promoted to professor there in 1957. Maintaining his position at Panjab University, he also held a position as professor at Ohio State University in the US from 1964 to 1969. He retired from Panjab University in 1993.Bambah was president of the Indian Mathematical Society in 1969, and vice chancellor of Panjab University from 1985 to 1991.","బాంబా లాహోర్లోని ప్రభుత్వ కళాశాల విశ్వవిద్యాలయం నుండి బ్యాచిలర్ డిగ్రీని, లాహోర్లోని పంజాబ్ విశ్వవిద్యాలయం నుండి మాస్టర్స్ డిగ్రీని పొందారు. ఇతను తన డాక్టరల్ చదువుల కోసం ఇంగ్లండ్ వెళ్ళాడు, తన Ph సంపాదించాడు. డి. 1950లో కేంబ్రిడ్జ్లోని సెయింట్ జాన్స్ కాలేజీ నుండి లూయిస్ జె పర్యవేక్షణలో. మోర్డెల్. భారతదేశానికి తిరిగి వచ్చిన ఇతను 1952లో చండీగఢ్లోని పంజాబ్ విశ్వవిద్యాలయంలో రీడర్ అయ్యాడు, 1957లో అక్కడ ప్రొఫెసర్గా పదోన్నతి పొందాడు. పంజాబ్ విశ్వవిద్యాలయంలో తన పదవిని కొనసాగిస్తూ, ఇతను 1964 నుండి 1969 వరకు USలోని ఒహియో స్టేట్ యూనివర్శిటీలో ప్రొఫెసర్గా కూడా పనిచేశాడు. ఇతను 1993లో పంజాబ్ విశ్వవిద్యాలయం నుండి పదవీ విరమణ చేసాడు. బాంబా 1969లో ఇండియన్ మ్యాథమెటికల్ సొసైటీకి అధ్యక్షుడిగా, 1985 నుంచి 1991 వరకు పంజాబ్ యూనివర్సిటీ వైస్ ఛాన్సలర్గా ఉన్నారు. "
3153,Ram Prakash Gehlote,,
3154,Ram Prasad Choudhary Jaiswal,,
3155,Ram Punjwani,,
3156,Ram Saran Verma,,
3157,Ram Sarup Lugani,,
3158,Ram Shankar Tripathi,,
3159,Ram Singh,,
3160,Ram V. Sutar,,
3161,Ram Vilas Paswan,,
3162,Ram Yatna Shukla,,
3163,Rama Kant Shukla,,
3164,Ramachandra Datatraya Lele,,
3165,Ramachandra Guha,,
3166,Ramachandran Balasubramanian,,
3167,Ramachandran Nagaswamy,,
3168,Ramadas P. Shenoy,,
3169,Ramakant Achrekar,,
3170,Ramakant Gundecha,,
3171,Ramakant Krishnaji Deshpande,,
3172,Ramakant Maheshwar Muzumdar,,
3173,Ramakanta Panda,,
3174,Ramakanta Rath,,
3175,Ramakrishna Ananthakrishnan,,
3176,Ramakrishna V. Hosur,,
3177,Ramamoorthi Belagaje,,
3178,Ramamurthi Badrinath,,
3179,Ramamurthy Thyagarajan,,
3180,Raman Gangakhedkar,,
3181,Raman Kapur,,
3182,Raman Madhavan Nair,,
3183,Raman Viswanathan,,
3184,Ramanand Sagar,,
3185,Ramanarayan Upadhyaya,,
3186,Ramanath Cowsik,,
3187,Ramanath Iyer Mathrubbotham,,
3188,Ramanatha Venkata Ramani,,
3189,Ramanathan Krishnan,,
3190,Ramanathapuram C. S. Murugabhoopathy,,
3191,Ramankutty Nair,,
3192,Ramanlal Gokaldas Saraiya,,
3193,Ramanujam Varatharaja Perumal,,
3194,Ramaranjan Mukherji,,
3195,Ramaswami Venkataswami,,
3196,Ramaswamy Duraiswamy Ayyar,,
3197,Ramaswamy Iyer,,
3198,Ramaswamy M. Vasagam,,
3199,Ramaswamy Rajaram,,
3200,Rambhadracharya,,
3201,Ramchand Kishindas Menda,,
3202,Ramchandra Manjhi,,
3203,Ramchandra Narayan Dandekar,,
3204,Ramdas Pai,,
3205,Ramdhari Singh Dinkar,,
3206,Ramesh Babaji Maharaj,,
3207,Ramesh Chandra Bhaskar Sule,,
3208,Ramesh Chandra Shah,,
3209,Ramesh Gelli,,
3210,Ramesh Inder Singh,,
3211,Ramesh Krishnan,,
3212,Ramesh Kumar (nephrologist),,
3213,Ramesh Nigam,,
3214,Ramesh Sippy,,
3215,Ramesh Tribhuvandas Doshi,,
3216,Rameshwar Nath Koul Bamezai,,
3217,Rameshwar Singh Kashyap,,
3218,Rameshwari Nehru,,
3219,Rameshwarlal Kabra,,
3220,Ramjee Singh,,
3221,Ramji Vasant Khanolkar,,
3222,Ramkinkar Baij,,
3223,Ramkumar Verma,,
3224,Ramli Bin Ibrahim,,
3225,Ramniklal K. Gandhi,,
3226,Ramoji Rao,,
3227,Ramprasad Ramchand Khandelwal,,
3228,Ramrao Deshmukh,,
3229,Ramsing Fakiraji Bhanawat,,
3230,Rana Krishnadev Narain Singh,,
3231,Rana Moti Singh,,
3232,Ranbir Chander Sobti,,
3233,Ranbir Singh Bisht,,
3234,Randeep Guleria,,
3235,Randhir Sud,,
3236,Ranganathan Parthasarathy,,
3237,Rangasami Lakshminarayana Kashyap,,
3238,Rangaswamy Narasimhan,,
3239,Rani Gaidinliu,,
3240,Rani Karnaa,,
3241,Rani Rampal,,
3242,Ranjan Roy Daniel,,
3243,Ranjana Gauhar,,
3244,Ranjit Bhargava,,
3245,Ranjit Ramachandra Rao Desai,,
3246,Ranjit Roy Chaudhury,,
3247,Ranjit Singh Sarkaria,,
3248,Rao Raja Hanut Singh,,
3249,Rasheed Ahmad Siddiqui,,
3250,Rashid Khan,,
3251,Ratan Lal Joshi,,
3252,Ratan Shankar Mishra,,
3253,Ratan Shastri,,
3254,Ratan Tata,,
3255,Ratan Thiyam,,
3256,Rathin Datta,,
3257,Ratna Fabri,,
3258,Ratnappa Kumbhar,,
3259,Ratnasundarsuri,,
3260,Rattan Lal,,
3261,Ravi Chaturvedi,,
3262,Ravi Grover,,
3263,Ravi Kannan R,,
3264,Ravi Kant,,
3265,Ravi Kumar Narra,,
3266,Ravi Narayana Reddy,,
3267,Ravi Shankar,,
3268,Ravi Shankar Sharma,,
3269,Ravinder Kumar Bali,,
3270,Ravindra Chandra Bhargava,,
3271,Ravindra Dayal,,
3272,Ravindra Jain,,
3273,Ravindra Kelekar,,
3274,Ravindra Kumar,,
3275,Ravindra Kumar Sinha,,
3276,Ravindra Nagar,,
3277,Ravindra Nath Shrivastava,,
3278,Ravindra Santram Dharkar,,
3279,Ravindra Singh Bisht,,
3280,Ravindra and Smita Kolhe,,
3281,Ravishankar Raval,,
3282,Rear Francis Leslie Fraser,,
3283,Reema Nanavati,,
3284,Reeta Devi,,
3285,Rehana Khatoon,,
3286,Rehman Rahi,,
3287,Rehmath Beegum Sailaniyoda,,
3288,Rekandar Nageswara Rao,,
3289,Rekha,,
3290,Relangi,,
3291,Remo Fernandes,,
3292,Renana Jhabvala,,
3293,Renuka Ray,,
3294,Resul Pookutty,,
3295,Reuben David,,
3296,Rev Joel K. Lakra,,
3297,Rewben Mashangva,,
3298,Richard Attenborough,,
3299,Rita Ganguly,,
3300,Ritu Kumar,,
3301,Ritu Menon,,
3302,Ritwik Ghatak,,
3303,Riyaz Punjabi,,
3304,Robert Blackwill,,
3305,Robert Brocklesby Davis,,
3306,Robert Thurman,,
3307,Robin Banerjee,,
3308,Roddam Narasimha,,
3309,Rohini Godbole,"Rohini Godbole obtained her bachelor's degree in physics, mathematics and statistics from Sir Parshurambhau College, University of Pune, MSc from the Indian Institute of Technology, Mumbai, and PhD in 1979 in theoretical particle physics from the State University of New York at Stony Brook. Prof. Godbole joined Tata Institute of Fundamental Research, Mumbai as a visiting fellow in 1979. She was Lecturer and Reader at the Department of Physics, University of Bombay from 1982 to 1995. She joined the Centre for High Energy Physics, Indian Institute of Science, Bangalore, as Associate Professor in 1995 and has been a Professor since June 1998. Superannuating there by 31 July 2021 she will become an honorary professor.
She is the author of more than 150 research papers; many of which have some of the largest citation indices in her area.","రోహిణి గాడ్బోలే పూణేలోని సర్ పరశురాంభౌ కాలేజ్లోని ఫిజిక్స్, మ్యాథమెటిక్స్, స్టాటిస్టిక్స్లో బ్యాచిలర్స్ డిగ్రీని, ముంబైలోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ నుండి MScని, 1979లో స్టేట్ యూనివర్శిటీ ఆఫ్ న్యూయార్క్లో స్టోనీ బ్రూక్లోని స్టేట్ యూనివర్శిటీ పార్టికల్ ఫిజిక్స్లో PhDని పొందారు. ప్రొ. గాడ్బోలే 1979లో టాటా ఇన్స్టిట్యూట్ ఆఫ్ ఫండమెంటల్ రీసెర్చ్, ముంబైలో విజిటింగ్ ఫెలోగా చేరారు. ఈమె 1982 నుండి 1995 వరకు బొంబాయి విశ్వవిద్యాలయంలో ఫిజిక్స్ విభాగంలో లెక్చరర్, రీడర్. ఈమె 1995లో సెంటర్ ఫర్ హై ఎనర్జీ ఫిజిక్స్, ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ సైన్స్, బెంగళూరులో అసోసియేట్ ప్రొఫెసర్గా చేరారు, జూన్ 1998 నుండి ప్రొఫెసర్గా ఉన్నారు. 31 జూలై 2021 నాటికి అక్కడ పదవీ విరమణ పొందిన ఈమె గౌరవ ప్రొఫెసర్ అవుతారు. ఈమె 150 కంటే ఎక్కువ పరిశోధనా పత్రాల రచయిత; వీటిలో చాలా వరకు ఈమె ప్రాంతంలో అతిపెద్ద అనులేఖన సూచికలను కలిగి ఉన్నాయి. "
3310,Roman Sarmah,,
3311,Romesh Wadhwani,,
3312,Romuald D'Souza,,
3313,Romulus Whitaker,,
3314,Ronald Carlton Vivian Piadade Noronha,,
3315,Ronen Sen,,
3316,Rongbong Terang,,
3317,Roshan Kumari,,
3318,Roshan Lal Anand,,
3319,Roshan Phooken,,
3320,Rostislav Rybakov,,
3321,Rudraradhya Muddu Basavaradhya,,
3322,Rukmini Baburao Pawar,,
3323,Rukmini Devi Arundale,,
3324,Runa Banerjee,,
3325,Ruskin Bond,,
3326,Russi Mody,,
3327,Rustom Jal Vakil,,
3328,Rustom Phiroze Soonawala,,
3329,Rustomji Bomanji Billimoria,,
3330,Rustomji Marwanji Alpaiwala,,
3331,S. B. Mujumdar,,
3332,S. C. Jamir,,
3333,S. C. Manchanda,,
3334,S. C. Munshi,,
3335,S. D. Burman,,
3336,S. Dhakshinamurthy Pillai,,
3337,S. G. Mahalingayyar Subramaniam,,
3338,S. G. Thakur Singh,,
3339,S. H. Raza,,
3340,S. I. Padmavati,,
3341,S. Jaishankar,,
3342,S. K. M. Maeilanandhan,,
3343,S. K. Misra,,
3344,S. K. Sama,,
3345,S. K. Shivkumar,,
3346,S. K. Sikka,,
3347,S. Krishnaswamy,,
3348,S. L. Bhyrappa,,
3349,S. M. Ganapathy,,
3350,S. N. Goenka,,
3351,S. N. Swamy,,
3352,S. Narasimhan,,
3353,S. P. Balasubrahmanyam,,
3354,S. P. Balasubramaniam,,
3355,S. P. Kothari,,
3356,S. P. Nimbalkar,,
3357,S. P. Oswal,,
3358,S. P. P. Thorat,,
3359,S. P. Varma,,
3360,S. R. Janakiraman,,
3361,S. R. Ranganathan,,
3362,S. R. Srinivasa Varadhan,,
3363,S. Ramachandran,,
3364,S. Ramakrishnan,,
3365,S. Ramaswamy Iyer Balasubrahmanyam,,
3366,S. S. Badrinath,,
3367,S. S. Rajamouli,,
3368,S. S. Rathore,,
3369,S. S. Vasan,,
3370,S. Shakir Ali,,
3371,S. Somasundaram,,
3372,S. Srinivasa Sriramacharyulu,,
3373,S. Srinivasan,,
3374,S. V. S. Raghavan,,
3375,Saalumarada Thimmakka,,
3376,Saba Anjum Karim,,
3377,Sabarmatee,,
3378,Sabitri Chatterjee,,
3379,Sabitri Heisnam,,
3380,Sabri Khan,,
3381,Sabya Sachi Sarkar,,
3382,Sachchidanand Sahai,,
3383,Sachidananda Routray,,
3384,Sachin Tendulkar,,
3385,Sadashiv Rath Sharma,,
3386,Sadashiv Vasantrao Gorakshkar,,
3387,Sadasiv Misra,,
3388,Sadat Abul Masud,,
3389,Sadhu Meher,,
3390,Sadhu Singh Hamdard,,
3391,Sadiq-ur-Rahman Kidwai,,
3392,Saeed Jaffrey,,
3393,Sagat Singh,,
3394,Sahir Ludhianvi,,
3395,Sai Paranjpye,,
3396,Saibaba Goud,,
3397,Saichiro Misumi,,
3398,Saif Ali Khan,,
3399,Saif-ud-din Ahmad,,
3400,Saikhom Mirabai Chanu,,
3401,Sailabala Das,,
3402,Sailen Manna,,
3403,Sailesh Kumar Bandopadhyay,,
3404,Saina Nehwal,,
3405,Saiyid Amir Hasan Abidi,,
3406,Sajan Misra,,
3407,Sakar Khan Manganiar,,
3408,Sakharam Abaji Pawar Patil,,
3409,Sakshi Malik,,
3410,Salam Machhlisheri,,
3411,Saliha Abid Hussain,,
3412,Salik Lucknawi,,
3413,Salim Ali,,
3414,"Salman Amin ""Sal"" Khan",,
3415,Sam Manekshaw,,
3416,Sam Pitroda,,
3417,Samad Yar Khan Saghar Nizami,,
3418,Samarendranath Sen,,
3419,Samiran Nundy,,
3420,Sampat Ramteke,,
3421,Samta Prasad,,
3422,Samuel Paul,,
3423,Sandeep Guleria,,
3424,Sandip Kumar Basu,,
3425,Sandra Desa Souza,,
3426,Sanduk Ruit,,
3427,Sanganbasappa Mallangouda Patil,,
3428,Sania Mirza,,
3429,Sanjay Govind Dhande,,
3430,Sanjay Leela Bhansali,,
3431,Sanjaya Rajaram,,
3432,Sanjeev Bagai,,
3433,Sanjeev Bikhchandani,,
3434,Sanjeev Kapoor,,
3435,Sanjida Khatun,,
3436,Sanjukta Panigrahi,,
3437,Sankar Kumar Pal,"SK Pal studied at the University of Calcutta for his BSc in Physics (1969), BTech (1972) and MTech (1974). 
He received a PhD in Radio Physics and Electronics from the Rajabazar Science College campus of University of Calcutta in 1979 as a student of Indian Statistical Institute, and another PhD in Electrical Engineering along with Diploma of the Imperial College from Imperial College, University of London, in 1982. He worked at the University of California, Berkeley and University of Maryland, College Park from 1986-1987 as Fulbright Fellow, NASA Johnson Space Center from 1990-1992 and in 1994 as NAS-NRC Senior Research Associate, Distinguished Visitor of IEEE Computer Society (USA) for Asia-Pacific Region in 1997, and US Naval Research Laboratory, Washington DC in 2004 as a Visiting Scientist. He joined the Indian Statistical Institute (ISI), Kolkata, as the CSIR Senior Research Fellow in 1975, and eventually entered into full faculty in 1987, as Professor. He then became Distinguished Scientist in 1998 and Director in 2005. He was the first Computer Scientist as well as someone outside Statistics and Mathematics to become the Director of ISI in its 76-year history.His areas of research interests include fuzzy sets and uncertainty analysis, artificial neural networks for machine intelligence, pattern recognition, image processing, data mining, granular computing, genetic algorithms, rough sets, and soft computing with applications such as in bioinformatics, video analytics, online social network anlysis, and cognitive mind development. He has pioneered  hybrid intelligent systems like neuro fuzzy and rough fuzzy hybridization. Prof. Pal is widely recognized across the world for his pioneering and extraordinary contributions in Machine Intelligence, Fuzzy Logic, Soft Computing and Pattern Recognition","SK పాల్ తన BSc భౌతిక శాస్త్రం (1969), BTech (1972), MTech (1974) కోసం కలకత్తా విశ్వవిద్యాలయంలో చదివారు. ఇతను 1979లో ఇండియన్ స్టాటిస్టికల్ ఇన్స్టిట్యూట్లో విద్యార్థిగా కలకత్తా విశ్వవిద్యాలయంలోని రాజాబజార్ సైన్స్ కాలేజ్ క్యాంపస్ నుండి రేడియో ఫిజిక్స్, ఎలక్ట్రానిక్స్లో పిహెచ్డి, ఇంపీరియల్ కాలేజ్ ఆఫ్ లండన్ నుండి ఇంపీరియల్ కాలేజ్ డిప్లొమాతో పాటు ఎలక్ట్రికల్ ఇంజనీరింగ్లో మరొక పిహెచ్డి పొందాడు. 1982లో. ఇతను యూనివర్శిటీ ఆఫ్ కాలిఫోర్నియా, బర్కిలీ, యూనివర్శిటీ ఆఫ్ మేరీల్యాండ్లో, కాలేజ్ పార్క్లో 1986-1987 వరకు ఫుల్బ్రైట్ ఫెలోగా, 1990-1992 వరకు NASA జాన్సన్ స్పేస్ సెంటర్గా, 1994లో NAS-NRC సీనియర్ రీసెర్చ్ అసోసియేట్, IEEE, విశిష్ట సందర్శకుడిగా పనిచేశాడు. USA) 1997లో ఆసియా-పసిఫిక్ ప్రాంతానికి,, US నావల్ రీసెర్చ్ లాబొరేటరీ, వాషింగ్టన్ DC 2004లో విజిటింగ్ సైంటిస్ట్గా. ఇతను 1975లో కోల్కతాలోని ఇండియన్ స్టాటిస్టికల్ ఇన్స్టిట్యూట్ (ISI)లో CSIR సీనియర్ రీసెర్చ్ ఫెలోగా చేరాడు, చివరికి 1987లో ప్రొఫెసర్గా పూర్తిస్థాయి ఫ్యాకల్టీలోకి ప్రవేశించాడు. ఆ తర్వాత 1998లో విశిష్ట శాస్త్రవేత్తగా, 2005లో దర్శకుడిగా మారారు. ఇతను 76 సంవత్సరాల చరిత్రలో ISI డైరెక్టర్గా మారిన మొదటి కంప్యూటర్ సైంటిస్ట్, స్టాటిస్టిక్స్, మ్యాథమెటిక్స్ వెలుపల ఉన్న వ్యక్తి. అతని పరిశోధనా ఆసక్తుల రంగాలలో మసక సెట్లు, అనిశ్చితి విశ్లేషణ, మెషిన్ ఇంటెలిజెన్స్ కోసం కృత్రిమ న్యూరల్ నెట్వర్క్లు, నమూనా గుర్తింపు, ఇమేజ్ ప్రాసెసింగ్, డేటా మైనింగ్, గ్రాన్యులర్ కంప్యూటింగ్, జెనెటిక్ అల్గారిథమ్లు, రఫ్ సెట్లు, బయోఇన్ఫర్మేటిక్స్, వీడియో అనలిటిక్స్ వంటి అప్లికేషన్లతో సాఫ్ట్ కంప్యూటింగ్ ఉన్నాయి. ఆన్లైన్ సోషల్ నెట్వర్క్ విశ్లేషణ,, అభిజ్ఞా మనస్సు అభివృద్ధి. ఇతను న్యూరో ఫజీ, రఫ్ ఫజీ హైబ్రిడైజేషన్ వంటి హైబ్రిడ్ ఇంటెలిజెంట్ సిస్టమ్లను ప్రారంభించాడు. ప్రొ. పాల్ మెషిన్ ఇంటెలిజెన్స్, మసక లాజిక్, సాఫ్ట్ కంప్యూటింగ్, ప్యాటర్న్ రికగ్నిషన్లలో తన మార్గదర్శక, అసాధారణమైన సహకారానికి ప్రపంచవ్యాప్తంగా విస్తృతంగా గుర్తింపు పొందాడు. "
